"Package name","Release","Info"
"libklibc","2.0.4-8ubuntu1.16.04.4","amd64 minimal libc subset for use with initramfs "
"libkmod2:amd64","22-1ubuntu5.2","amd64 libkmod shared library "
"libkrb5-26-heimdal:amd64","1.7~git20150920+dfsg-4ubuntu1.16.04.1","amd64 Heimdal Kerberos - libraries "
"libkrb5-3:amd64","1.13.2+dfsg-5ubuntu2.1","amd64 MIT Kerberos runtime libraries "
"libkrb5support0:amd64","1.13.2+dfsg-5ubuntu2.1","amd64 MIT Kerberos runtime libraries - Support library "
"libldap-2.4-2:amd64","2.4.42+dfsg-2ubuntu3.6","amd64 OpenLDAP libraries "
"liblocale-gettext-perl","1.07-1build1","amd64 module using libc functions for internationalization in Perl "
"liblua5.1-0:amd64","5.1.5-8ubuntu1","amd64 Shared library for the Lua interpreter version 5.1 "
"liblvm2app2.2:amd64","2.02.133-1ubuntu10","amd64 LVM2 application library "
"liblvm2cmd2.02:amd64","2.02.133-1ubuntu10","amd64 LVM2 command library "
"liblwp-mediatypes-perl","6.02-1","all module to guess media type for a file or a URL "
"liblwres141:amd64","1:9.10.3.dfsg.P4-8ubuntu1.14","amd64 Lightweight Resolver Library used by BIND "
"liblxc1","2.0.8-0ubuntu1~16.04.2","amd64 Linux Containers userspace tools (library) "
"liblz4-1:amd64","0.0~r131-2ubuntu2","amd64 Fast LZ compression algorithm library - runtime "
"liblzma5:amd64","5.1.1alpha+20120614-2ubuntu2","amd64 XZ-format compression library "
"liblzo2-2:amd64","2.08-1.2","amd64 data compression library "
"libmagic1:amd64","1:5.25-2ubuntu1.3","amd64 File type determination library using "magic" numbers "
"libmcrypt4","2.5.8-3.3","amd64 De-/Encryption Library "
"libmnl0:amd64","1.0.3-5","amd64 minimalistic Netlink communication library "
"libmount1:amd64","2.27.1-6ubuntu3.6","amd64 device mounting library "
"libmpdec2:amd64","2.4.2-1","amd64 library for decimal floating point arithmetic (runtime library) "
"libmpfr4:amd64","3.1.4-1","amd64 multiple precision floating-point computation "
"libmspack0:amd64","0.5-1ubuntu0.16.04.4","amd64 library for Microsoft compression formats (shared library) "
"libncurses5:amd64","6.0+20160213-1ubuntu1","amd64 shared libraries for terminal handling "
"libncursesw5:amd64","6.0+20160213-1ubuntu1","amd64 shared libraries for terminal handling (wide character support) "
"libnetfilter-conntrack3:amd64","1.0.5-1","amd64 Netfilter netlink-conntrack library "
"libnettle6:amd64","3.2-1ubuntu0.16.04.1","amd64 low level cryptographic library (symmetric and one-way cryptos) "
"libnewt0.52:amd64","0.52.18-1ubuntu2","amd64 Not Erik's Windowing Toolkit - text mode windowing with slang "
"libnfnetlink0:amd64","1.0.1-3","amd64 Netfilter netlink library "
"libnih1:amd64","1.0.3-4.3ubuntu1","amd64 NIH Utility Library "
"libnl-3-200:amd64","3.2.27-1ubuntu0.16.04.1","amd64 library for dealing with netlink sockets "
"libnl-genl-3-200:amd64","3.2.27-1ubuntu0.16.04.1","amd64 library for dealing with netlink sockets - generic netlink "
"libnuma1:amd64","2.0.11-1ubuntu1.1","amd64 Libraries for controlling NUMA policy "
"libp11-kit0:amd64","0.23.2-5~ubuntu16.04.1","amd64 library for loading and coordinating access to PKCS#11 modules - runtime "
"libpam0g:amd64","1.1.8-3.2ubuntu2.1","amd64 Pluggable Authentication Modules library "
"libpam-modules:amd64","1.1.8-3.2ubuntu2.1","amd64 Pluggable Authentication Modules for PAM "
"libpam-modules-bin","1.1.8-3.2ubuntu2.1","amd64 Pluggable Authentication Modules for PAM - helper binaries "
"libpam-runtime","1.1.8-3.2ubuntu2.1","all Runtime support for the PAM library "
"libpam-systemd:amd64","229-4ubuntu21.21","amd64 system and service manager - PAM module "
"libparted2:amd64","3.2-15ubuntu0.1","amd64 disk partition manipulator - shared library "
"libpcap0.8:amd64","1.7.4-2ubuntu0.1","amd64 system interface for user-level packet capture "
"libpci3:amd64","1:3.3.1-1.1ubuntu1.3","amd64 Linux PCI Utilities (shared library) "
"libpcre2-8-0:amd64","10.31-3+ubuntu16.04.1+deb.sury.org+1","amd64 New Perl Compatible Regular Expression Library- 8 bit runtime files "
"libpcre3:amd64","2:8.38-3.1","amd64 Perl 5 Compatible Regular Expression Library - runtime files "
"libperl5.22:amd64","5.22.1-9ubuntu0.6","amd64 shared Perl library "
"libpipeline1:amd64","1.4.1-2","amd64 pipeline manipulation library "
"libplymouth4:amd64","0.9.2-3ubuntu13.5","amd64 graphical boot animation and logger - shared libraries "
"libpng12-0:amd64","1.2.54-1ubuntu1.1","amd64 PNG library - runtime "
"libpolkit-agent-1-0:amd64","0.105-14.1ubuntu0.5","amd64 PolicyKit Authentication Agent API "
"libpolkit-backend-1-0:amd64","0.105-14.1ubuntu0.5","amd64 PolicyKit backend API "
"libpolkit-gobject-1-0:amd64","0.105-14.1ubuntu0.5","amd64 PolicyKit Authorization API "
"libpopt0:amd64","1.16-10","amd64 lib for parsing cmdline parameters "
"libprocps4:amd64","2:3.3.10-4ubuntu2.4","amd64 library for accessing process information from /proc "
"libpython2.7-minimal:amd64","2.7.12-1ubuntu0~16.04.9","amd64 Minimal subset of the Python language (version 2.7) "
"libpython2.7-stdlib:amd64","2.7.12-1ubuntu0~16.04.9","amd64 Interactive high-level object-oriented language (standard library, version 2.7) "
"libpython3.5:amd64","3.5.2-2ubuntu0~16.04.9","amd64 Shared Python runtime library (version 3.5) "
"libpython3.5-minimal:amd64","3.5.2-2ubuntu0~16.04.9","amd64 Minimal subset of the Python language (version 3.5) "
"libpython3.5-stdlib:amd64","3.5.2-2ubuntu0~16.04.9","amd64 Interactive high-level object-oriented language (standard library, version 3.5) "
"libpython3-stdlib:amd64","3.5.1-3","amd64 interactive high-level object-oriented language (default python3 version) "
"libpython-stdlib:amd64","2.7.12-1~16.04","amd64 interactive high-level object-oriented language (default python version) "
"libreadline5:amd64","5.2+dfsg-3build1","amd64 GNU readline and history libraries, run-time libraries "
"libreadline6:amd64","6.3-8ubuntu2","amd64 GNU readline and history libraries, run-time libraries "
"libroken18-heimdal:amd64","1.7~git20150920+dfsg-4ubuntu1.16.04.1","amd64 Heimdal Kerberos - roken support library "
"librtmp1:amd64","2.4+20151223.gitfa8646d-1ubuntu0.1","amd64 toolkit for RTMP streams (shared library) "
"libsasl2-2:amd64","2.1.26.dfsg1-14ubuntu0.1","amd64 Cyrus SASL - authentication abstraction library "
"libsasl2-modules:amd64","2.1.26.dfsg1-14ubuntu0.1","amd64 Cyrus SASL - pluggable authentication modules "
"libsasl2-modules-db:amd64","2.1.26.dfsg1-14ubuntu0.1","amd64 Cyrus SASL - pluggable authentication modules (DB) "
"libseccomp2:amd64","2.4.1-0ubuntu0.16.04.2","amd64 high level interface to Linux seccomp filter "
"libselinux1:amd64","2.4-3build2","amd64 SELinux runtime shared libraries "
"libsemanage1:amd64","2.3-1build3","amd64 SELinux policy management library "
"libsemanage-common","2.3-1build3","all Common files for SELinux policy management libraries "
"libsepol1:amd64","2.4-2","amd64 SELinux library for manipulating binary security policies "
"libserf-1-1:amd64","1.3.8-1","amd64 high-performance asynchronous HTTP client library "
"libsigsegv2:amd64","2.10-4","amd64 Library for handling page faults in a portable way "
"libslang2:amd64","2.3.0-2ubuntu1.1","amd64 S-Lang programming library - runtime version "
"libsmartcols1:amd64","2.27.1-6ubuntu3.6","amd64 smart column output alignment library "
"libsodium23:amd64","1.0.17-0.1+ubuntu16.04.1+deb.sury.org+1","amd64 Network communication, cryptography and signaturing library "
"libsqlite3-0:amd64","3.11.0-1ubuntu1.3","amd64 SQLite 3 shared library "
"libss2:amd64","1.42.13-1ubuntu1.1","amd64 command-line interface parsing library "
"libssl1.0.0:amd64","1.0.2g-1ubuntu4.15","amd64 Secure Sockets Layer toolkit - shared libraries "
"libssl1.1:amd64","1.1.1b-1+ubuntu16.04.1+deb.sury.org+1","amd64 Secure Sockets Layer toolkit - shared libraries "
"libstdc++6:amd64","5.4.0-6ubuntu1~16.04.12","amd64 GNU Standard C++ Library v3 "
"libsvn1:amd64","1.9.3-2ubuntu1.3","amd64 Shared libraries used by Apache Subversion "
"libsystemd0:amd64","229-4ubuntu21.21","amd64 systemd utility library "
